,index,artist,title,mood,lyrics
0,0,Rob Zombie,Pussy Liquor,angry,gimme a b gimme a a gimme a b gimme a y whats that spell whats that spell whats that spell baby earl had a baby baby was her name he knew she was crazy tiny was the same down behind the shed slaughtering the hog slice it on the belly feed it to the dog one two three who should i kill every motherfucker running up the hill one two three what should i do get fucked up and fuck up you pussy liquor make ya sicker pussy liquor do it quicker yeah we like to get fucked up fucked up yeah i like to get fucked up too yeah i bet you do yeah we like to get fucked up fucked up yeah i like to get fucked up too yeah i bet you do satan had a baby otis was his name white as a ghost totally insane otis loves the girls young and clean drowning in a bucket of gasoline one two three who should i kill every motherfucker running up the hill one two three what should i do get fucked up and fuck up you pussy liquor make ya sicker pussy liquor do it quicker yeah we like to get fucked up fucked up yeah i like to get fucked up too yeah i bet you do yeah we like to get fucked up fucked up yeah i like to get fucked up too yeah i bet you do dont you know something they wont tell send them to a hell burnin in the house spirits are alive a tongue lashing mama help em to survive one two three who should i kill every motherfucker running up the hill one two three what should i do get fucked up and fuck up you pussy liquor make ya sicker pussy liquor do it quicker
1,1,Katatonia,12,sad,black theatre of love violet dancers cast their blood the moon gave me flowers for funerals to come twelve shapes bow before her i am still one of them twelve morbid ways to die her beauty scares me im falling deeper no more pain to feel now touch the silence afraid of hell black theatre of love violet dancers drink my blood the moon gave me flowers for funerals to come i cannot breathe i am losing life the moon paints the skyline blue she died so beautiful
2,2,Bing Crosby,Swinging On A Star,happy,would you like to swing on a star carry moonbeams home in a jar and be better off than you are ooo or would you rather be a mule a mule is an animal with long funny ears he kicks up at anything he hears his back is brawny but his brain is weak hes just plain stupid with a stubborn streak and by the way if you hate to go to school you may grow up to be a mule or would you like to swing on a star carry moonbeams home in a jar and be better off than you are doo doo or would you rather be a pig a pig is an animal with dirt on his face his shoes are a terrible disgrace he has no manners when he eats his food hes fat and lazy and extremely rude but if you dont care a feather or a fig you may grow up to be a pig or would you like to swing on a star carry moonbeams home in a jar and be better off than you are or would you rather be a fish a fish wont do anything but swim in a brook he cant write his name or read a book to fool the people is his only thought and though hes slippery he still gets caught but then if that sort of life is what you wish you may grow up to be a fish a new kind of jumped up slippery fish and all the monkeys arent in the zoo everyday youll meet quite a few so you see its all up to you ooo you can be better than you are ooo you could be swingin on a star doo doo doo doo doo doo doo doo doo doo doo doo
3,3,Hole,Violet,angry,and the sky was made of amethyst and all the stars were just like little fish you should learn when to go you should learn how to say no might last a day yeah mine is forever might last a day yeah mine is forever when they get what they want and they never want it again when they get what they want and they never want it again go on take everything take everything i want you to go on take everything take everything i want you to and the sky was all violet i want it again but violent more violent yeah im the one with no soul one above and one below might last a day yeah mine is forever might last a day yeah mine is forever when they get what they want and they never want it again when they get what they want and they never want it again go on take everything take everything i want you to go on take everything take everything i dare you to well i told you from the start just how this would end when i get what i want and i never want it again go on take everything take everything i want you to go on take everything take everything i want you to its my lie youre mine youre mine go on take everything take everything i want you to go on take everything take everything i want you to go on take everything take everything i want you to go on take everything take everything take everything take everything
4,4,Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,angry,next thursday youre invited to watch rising tides live coverage of a gala tribute in salute to ronald zero point host haley barbour joins special guest lady margaret thatcher in celebrating the former presidents eighty third zero point tickets are one thousand dollars a plate but you can see the event free on gop zero point images of perfection suntan and napalm grenada haiti poland nicaragua who shall we choose for our morality im thinking right now of hollywood tragedy big mac smack phoenix r please smile yall cuba mexico cant cauterise our discipline your idols speak so much of the abyss yet your morals only run as deep as the surface cool groovy morning fine tipper gore was a friend of mine i love a free country the stars and stripes and an apple for mommy conservatives say there aint no black in the union jack democrats say there aint enough white in the stars and stripes compton harlem a pimp fucked a priest the white man has just found a new moral saviour vital stats how white was their skin unimportant just another inner city drive by thing morning fine serve your first coffee of the day real privilege it will take your problems away number one the best no excuse from me i am here to serve the moral majority cool groovy morning fine tipper gore was a friend of mine i love a free country the stars and stripes and an apple for mommy zapruder the first to masturbate the worlds first taste of crucified grace and we say theres not enough black in the union jack and we say theres too much white in the stars and stripes fuck the brady bill fuck the brady bill if god made man they say sam colt made him equal
5,5,Megadeth,Architecture of Aggression,angry,born from the dark in the black cloak of night to envelop its prey below deliver to the light to eliminate your enemy hit them in their sleep and when all is won and lost the spoils of wars are yours to keep aw great nations built from the bones of the dead with mud and straw minus zero blood and sweat you know your worth when your enemies praise your architecture of aggression praise your architecture of aggression ah huh ensuing power vacuum a toppled leader dies his body fuels the power fire and the flames rise to the sky one side of his face a kiss minus zero the other genocide time to pay with your ass a worldwide suicide great nations built from the bones of the dead with mud and straw minus zero blood and sweat you know your worth when your enemies praise your architecture of aggression fight for america fight for america fight for america fight for america fight for america fight for america everybody knew that the fifteenth of january was the deadline date by kicking the war off once the war was over people would be able to go home born from the dark in the black cloak of night to envelop its prey below deliver to the light to eliminate your enemy hit them in their sleep and when all is won and lost the spoils of wars are yours to keep great nations built from the bones of the dead with mud and straw minus zero blood and sweat you know your worth when your enemies praise your architecture of aggression great nations built from the bones of the dead with mud and straw minus zero blood and sweat you know your worth when your enemies praise your architecture of aggression they looked like big long snakes fight for america coming up in the air medium sized triple a um just fight for america ah tracer bullets they looked like big long snakes fight for america coming up in the air fight for america
6,6,Blondie,Heart of Glass,happy,once i had a love and it was a gas soon turned out had a heart of glass lost inside adorable illusion and i cannot hide im the one youre using please dont push me aside we couldve made it cruising yeah da da da da dum da dum da da dum da da da da dum da dum da da dum da da da da dum da dum da yeah riding high on loves true bluish light oooh ah ah oooh ah ah oooh ah ah oooh ah ah once i had a love and it was a gas soon turned out to be a pain in the ass seemed like the real thing only to find mucho mistrust loves gone behind oooh ah ah oooh ah ah oooh ah ah oooh ah ah
7,7,The Tallest Man on Earth,Love Is All,sad,well i walk upon the river like its easier than land evils in my pocket and your will is in my hand oh your will is in my hand and ill throw it in the current that i stand upon so still love is all from what ive heard but my hearts learned to kill oh mine has learned to kill oh i said i could rise from the harness of our goals here come the tears but like always i let them go just let them go now spikes will keep on falling from the heavens to the floor the future was our skin and now we dont dream anymore no we dont dream anymore like a house made from spider webs and the clouds rolling in i bet this mighty rivers both my savior and my sin oh my savior and my sin oh i said i could rise from the harness of our goals here come the tears but like always i let them go just let them go zero well i walk upon the river like its easier than land evils in my pocket and your strength is in my hand your strength is in my hand and ill throw you in the current that i stand upon so still love is all from what ive heard but my hearts learned to kill oh mine has learned to kill oh i said i could rise from the harness of our goals here come the tears but like always i let them go just let them go
8,8,Garbage,Silence Is Golden,angry,if i am silent then i am not real if i speak up then no one will hear if i wear a mask theres somewhere to hide silence is golden i have been broken safe in my own skin so nobody wins if i raise my voice will someone get hurt and if i cant feel then i wont get touched if no truths are spoken then no lies can hide silence is golden i have been broken safe in my own skin so nobody wins silence is golden nobody gets in safe in my own skin so nobody wins did you hear me speak do you understand did you hear my voice will you hold my hand do you understand me wont someone listen nobody gets in my bodys a temple but nothing is simple silence is golden i have been broken something was stolen safe in my own skin safe in my own skin wont someone listen my bodys a temple but nothing is simple my bodys a temple but nothing is simple something was stolen i have been broken i have been broken silence is golden i have been broken safe in my own skin
9,9,Van Morrison,And It Stoned Me,relaxed,half a mile from the county fair and the rain came pourin down me and billy standin there with a silver half a crown hands are full of a fishin rod and the tackle on our backs we just stood there gettin wet with our backs against the fence oh the water oh the water oh the water hope it dont rain all day and it stoned me to my soul stoned me just like jelly roll and it stoned me and it stoned me to my soul stoned me just like goin home and it stoned me and the rain let up and the sun came up and we were gettin dry almost let a pick up truck nearly pass us by so we jumped right in and the driver grinned and he dropped us up the road and we looked at the swim and we jumped right in not to mention fishing poles oh the water oh the water oh the water let it run all over me and it stoned me to my soul stoned me just like jelly roll and it stoned me and it stoned me to my soul stoned me just like goin home and it stoned me on the way back home we sang a song but our throats were getting dry then we saw the man from across the road with the sunshine in his eyes well he lived all alone in his own little home with a great big gallon jar there were bottles too one for me and you and he said hey there you are oh the water oh the water oh the water get it myself from the mountain stream and it stoned me to my soul stoned me just like jelly roll and it stoned me and it stoned me to my soul stoned me just like goin home and it stoned me well it stoned me to my soul stoned on me just like jelly roll and it stoned me zero point it stoned me to my soul stoned me just like goin home and it stoned me
