,lyrics,mood_cats
4045,a western sky is glowing calling off the day fading rays of live sunsets caressing my feet on my way a shade in the horizon quivers in the haze whisper near right by my ear and these are the words that he said if you love your woman up to the ma imum tell her fi hold on hold on strong orange eyes of embers gleaming in the night guard us until break of dawn blessing the ground where we stay the eastern sky is glowing now in reddish shades of grey with promises of life and love and i wanna cherish the day if you love your woman up to the ma imum tell her fi hold on hold on strong,2
668,baby dont you cry no more no more baby dont you cry no more i been a lot of trouble but i wont no more baby dont you cry no baby dont you cry no more im listening to that midnight whistle blow just listening to that whistle blow and come tomorrow morning ill be leaving on a train listening to that whistle blow i confess to being a fool bled your heart and did you cruel so ill leave you with your eyes closed and your head turned from the door and you wont have to cry no more walk away sad to say its grown thin love is cold when its old you can hold on too long so wipe away the salt tear from your eye so red and sore baby dont you cry no more baby dont you cry no baby dont you cry no more,2
825,got a lotta heartache hes a fuckin weasel his issues make my mind ache wanna make a deal cause i love your little motions you do with your pigtails what a nice creation worth another night in jail hes a player diarrhea giver tried to grow his hair out friends were listening to slayer i would like to find him friday night hanging out with mom and trying on his fathers tights life just sucks i lost the one im giving up she found someone theres plenty more girls are such a drag so all you little ladies be sure to choose the right guys youll come back to me maybe ill shower you with lies got a lotta heartache hes a fucking weasel decisions make my mind ache wanna make a deal ease away the problems and the pain the girl will choose the guy that makes you wanna kick and scream all along you wish that she would stay fuck the guy that took her and ran away and hes a player diarrhea giver tried to grow his hair out friends were listening to slayer i would like to find him friday night hanging out with mom and trying on his fathers tights life just sucks i lost the one im giving up she found someone theres plenty more girls are such a drag fuck this place i lost the war i hate you all your moms a whore wheres my dog cause girls are such a drag,0
2462,the snow is snowin wind is blowin but i can weather the storm what do i care how much it may storm ive got my love to keep me warm i cant remember a worst december just watch those icicles form what do i care if icicles form ive got my love to keep me warm off with my overcoat off with my gloves i need no overcoat im burning with love my hearts on fire the flame grows higher so i will weather the storm what do i care how much it may storm ive got my love to keep me warm my hearts on fire the flame grows higher so i will weather the storm what do i care how much it may storm ive got my love to keep me warm,0
2623,you come to me with a casual flow and suddenly my defenses start to go when you talk to me in that sensual tone it envelopes me and i lose my self control and baby i just melt away fall like rain every time i see your face i go off i go off i just want to break it down anytime you come around maybe i could melt away in your arms imagining that youre taking it slow and so tenderly till the feeling overflows when you look at me i go soft and cave in and i cant conceal that im slowly weakening baby and baby i just melt away i fall like rain fall like rain every time i see your face i go off i go off every time i see your face i lose my self control i just want to break it down anytime you come around and maybe i maybe i could melt away in your arms zero you and me in a cloud of reverie spin around inside my head unendingly over and over and over and over thoughts run wild as i sit and rhapsodize paint pretty pictures of what id do if you were mine baby i fall and baby i just melt away fall like rain every time i see your face i go off i go off every time i see your face i just go off i just want to break it down i just wanna break down anytime you come around maybe i could melt away in your arms and maybe i could melt away oh your arms your arms and baby i just melt away fall like rain baby i fall every time i see your face i go off i go off yeah yeah yeah yeah i just want to break it down you and me aint got a typical thing anytime you come around you and me aint got a typical thing maybe i could melt away in your arms and maybe i could melt away in your arms and baby i just melt away and i fall like rain and i,2
2420,everything that the devil stole gods givn it back to me everything that the devil stole gods givn it back to me everything that the devil stole gods givn it back to me everything that the devil stole gods givn it back to me cant have my joy cant have my joy cant have my peace cant have my peace cant have my faith cant have my faith want everything i want everything everything everything that the devil stole gods givn it back yeah gods gonna give it give it give it back to me everything everything that the devil stole gods givn it back to me everything that the devil stole gods givn it back to me everything that the devil stole everything the devil stole im gonna get it back everything that the devil stole gods givn it back to me cant have my joy cant have my joy cant have my peace cant have my peace cant have my faith cant have my faith i want everything i want everything my joy my joy cant have my peace cant have my peace cant have my faith cant have my faith i want everything i want everything everything everything that the devil stole gods givn it back to me satan knows hes destined for hell every little little lie hes going to tell many things he tried to steal fro me everything everything that the devil stole gods givn it back to me everything everything that the devil stole repeat s cant have my joy cant have my joy cant have my peace cant have my peace cant have my faith cant have my faith i want everything i want everything everything my joy my joy cant have my joy cant have my joy cant have my peace cant have my peace cant have my faith cant have my faith i want everything i want everything i want it all back i want it all back i want everything i want everything,0
3983,ever since i was young your word is the word that always won worry and wake the ones you love a phone call id rather not receive please use my body while i sleep my lungs are fresh and yours to keep kept clean and they will let you breathe is this the way a toy feels when its batteries run dry i am the watch you always wear but you forget to wind nobody plans to be half a world away at times like these so i sat alone and waited out the night the best part of what has happened was the part i must have missed so im asking you to shine it on and stick around im not writing my goodbyes i submit no e cuse if this is what i have to do i owe you every day i wake if i could i would shrink myself and sink through your skin to your blood cells and remove whatever makes you hurt but i am too weak to be your cure is this the way a toy feels when its batteries run dry i am the watch you always wear but you forget to wind nobody plans to be half a world away at times like these so i sat alone and waited out the night the best part of what has happened was the part i must have missed so im asking you to shine it on and stick around im not writing my goodbyes im not letting you check out you will beat this starting now and you will always be around im there to monitor your breathing i will watch you while youre sleeping i will keep you safe and sound does anybody remember back when you were very young did you ever think that you would be this blessed nobody plans to be half a world away at times like these so i sat alone and waited out the night the best part of what has happened was the part i must have missed so im asking you to shine it on and stick around im not writing my goodbyes,3
1581,i wont live to see tomorrow there wont be another prayer none of them will ever sorrow those whove sentenced me to death ive been waiting here for ages for the hangman to appear the hangman to appear soon the priest will read some pages from the bible for my fear i see a place an evil place coming my way what can i do where can i run gonna die anyway things are getting clearer this is the price i have to pay oh no i feel like screaming out my anger there is so much left here to do when it happened i was younger and my destiny was you i see a place an evil place coming my way what can i do where can i run gonna die anyway things are getting clearer this is the price i have to pay and what can i do about leaving you we were only halfway through and what can i say there was no other way they wouldnt let me stay,3
2626,i walked the line leave it all behind ive been waiting forever lets go back in time when i could read your mind so long ive been waiting it took the seasons going by to know its not my fault i tried to be perfect tried to be honest tried to be everything that you ever wanted i tried to be stronger tried to be smarter tried to be everything but you its been so long since youve been home i used to wait up forever i used to say a prayer wishing you were there and im still waiting you told me once youd show up but i fell for that before i fell to pieces then i woke up to no one just a picture of jesus and a house left in pieces it took the seasons going by to know its not my fault i tried to be perfect tried to be honest tried to be everything that you ever wanted i tried to be stronger tried to be smarter tried to be everything but you i wanted you i need you i want to believe you i tried to be perfect tried to be honest tried to be everything but you i tried to be perfect tried to be honest tried to be everything that you ever wanted i tried to be stronger tried to be smarter tried to be everything but you,0
3833,shiny silver jubilee when i destroy what i receive its good to see you smiling and the lack of sympathy its good to know the reason the reasons i destroy myself i know i know i know i deny myself i know i know i know i destroy myself i know i know i know i want to receive whats the reason whats the use when i dont want to look like you its good to sea you smiling and the lack of sympathy its one of many reasons reasons i destroy myself i know i know i know i deny myself i know i know i know i destroy myself i know i know i know easy to believe grow my hair long and strange ill be a walking mountain range its good to see you smiling and the lack of sympathy cos now i know the reasons the reasons i destroy myself,3
